team_abbreviation,game_date,wl,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,over_100
BOS,2024-04-03,W,242,135,50,92,0.543,17,40,0.425,18,19,0.947,S
UTA,2024-04-02,L,239,113,41,85,0.482,16,37,0.432,15,18,0.833,S
LAC,2024-04-02,L,241,95,31,76,0.408,11,27,0.407,22,27,0.815,N
TOR,2024-04-02,L,239,111,43,89,0.483,10,32,0.313,15,21,0.714,S
MIA,2024-04-02,W,241,109,36,74,0.486,17,38,0.447,20,21,0.952,S
SAC,2024-04-02,W,241,109,39,92,0.424,12,42,0.286,19,25,0.76,S
MIL,2024-04-02,L,240,113,45,103,0.437,11,48,0.229,12,18,0.667,S
MIN,2024-04-02,W,239,113,41,77,0.532,11,26,0.423,20,22,0.909,S
GSW,2024-04-02,W,242,104,41,90,0.456,15,32,0.469,7,7,1.0,S
SAS,2024-04-02,L,239,105,42,105,0.4,13,44,0.295,8,16,0.5,S
WAS,2024-04-02,W,239,117,47,93,0.505,9,38,0.237,14,17,0.824,S
CLE,2024-04-02,W,240,129,46,85,0.541,16,39,0.41,21,24,0.875,S
DEN,2024-04-02,W,241,110,43,98,0.439,11,34,0.324,13,16,0.813,S
HOU,2024-04-02,L,240,106,41,92,0.446,14,48,0.292,10,14,0.714,S
DAL,2024-04-02,L,240,100,39,89,0.438,15,40,0.375,7,11,0.636,N
LAL,2024-04-02,W,241,128,52,101,0.515,18,41,0.439,6,12,0.5,S
NYK,2024-04-02,L,239,99,35,76,0.461,12,34,0.353,17,21,0.81,N
PHI,2024-04-02,W,241,109,36,78,0.462,14,30,0.467,23,25,0.92,S
OKC,2024-04-02,L,240,105,37,87,0.425,13,39,0.333,18,22,0.818,S
CHA,2024-04-01,L,240,104,41,91,0.451,13,37,0.351,9,11,0.818,S
BOS,2024-04-01,W,239,118,43,89,0.483,19,53,0.358,13,16,0.813,S
NOP,2024-04-01,L,240,111,42,89,0.472,11,27,0.407,16,24,0.667,S
IND,2024-04-01,W,240,133,53,103,0.515,13,31,0.419,14,17,0.824,S
DET,2024-04-01,L,239,108,40,79,0.506,11,28,0.393,17,22,0.773,S
CHI,2024-04-01,L,240,101,37,94,0.394,7,28,0.25,20,24,0.833,S
POR,2024-04-01,L,239,103,40,90,0.444,11,31,0.355,12,15,0.8,S
MEM,2024-04-01,W,239,110,40,91,0.44,11,33,0.333,19,23,0.826,S
PHX,2024-04-01,W,239,124,43,87,0.494,18,47,0.383,20,25,0.8,S
BKN,2024-04-01,L,241,111,41,87,0.471,10,26,0.385,19,28,0.679,S
ORL,2024-04-01,W,240,104,36,76,0.474,11,32,0.344,21,27,0.778,S
ATL,2024-04-01,W,240,113,41,82,0.5,19,40,0.475,12,18,0.667,S
MIA,2024-03-31,W,240,119,40,81,0.494,14,36,0.389,25,29,0.862,S
CHA,2024-03-31,L,240,118,44,88,0.5,23,52,0.442,7,11,0.636,S
SAS,2024-03-31,L,239,113,40,89,0.449,17,43,0.395,16,18,0.889,S
BKN,2024-03-31,L,240,104,39,92,0.424,12,36,0.333,14,19,0.737,S
UTA,2024-03-31,L,240,106,34,83,0.41,16,41,0.39,22,28,0.786,S
PHI,2024-03-31,W,240,135,49,83,0.59,24,43,0.558,13,16,0.813,S
NYK,2024-03-31,L,240,112,38,92,0.413,13,43,0.302,23,34,0.676,S
HOU,2024-03-31,L,240,107,39,92,0.424,13,38,0.342,16,19,0.842,S
DAL,2024-03-31,W,239,125,48,93,0.516,24,47,0.511,5,9,0.556,S
OKC,2024-03-31,W,241,113,44,82,0.537,13,34,0.382,12,24,0.5,S
LAC,2024-03-31,W,240,130,43,75,0.573,14,29,0.483,30,34,0.882,S
DEN,2024-03-31,W,243,130,50,87,0.575,21,33,0.636,9,13,0.692,S
CHI,2024-03-31,W,241,109,42,80,0.525,17,29,0.586,8,12,0.667,S
TOR,2024-03-31,L,240,120,47,90,0.522,11,30,0.367,15,20,0.75,S
GSW,2024-03-31,W,241,117,45,92,0.489,16,39,0.41,11,13,0.846,S
CLE,2024-03-31,L,241,101,38,82,0.463,8,25,0.32,17,21,0.81,S
WAS,2024-03-31,L,240,107,40,88,0.455,11,38,0.289,16,21,0.762,S
MIN,2024-03-31,L,240,101,38,81,0.469,11,37,0.297,14,21,0.667,S
LAL,2024-03-31,W,240,116,42,77,0.545,15,40,0.375,17,22,0.773,S
SAC,2024-03-31,W,239,127,45,84,0.536,20,40,0.5,17,23,0.739,S
NOP,2024-03-30,L,240,92,34,86,0.395,13,35,0.371,11,18,0.611,N
MEM,2024-03-30,L,241,88,31,86,0.36,12,36,0.333,14,17,0.824,N
MIL,2024-03-30,W,239,122,43,78,0.551,8,28,0.286,28,35,0.8,S
BOS,2024-03-30,W,240,104,39,82,0.476,15,37,0.405,11,12,0.917,S
ORL,2024-03-30,W,239,118,38,78,0.487,22,44,0.5,20,23,0.87,S
ATL,2024-03-30,L,239,113,42,92,0.457,14,35,0.4,15,18,0.833,S
LAC,2024-03-29,W,241,100,41,85,0.482,8,24,0.333,10,12,0.833,N
SAC,2024-03-29,L,239,103,40,92,0.435,15,32,0.469,8,12,0.667,S
PHI,2024-03-29,L,242,114,42,94,0.447,16,40,0.4,14,17,0.824,S
UTA,2024-03-29,L,240,100,37,80,0.463,8,31,0.258,18,19,0.947,N
HOU,2024-03-29,W,239,101,35,91,0.385,13,42,0.31,18,28,0.643,S
DET,2024-03-29,W,240,96,37,89,0.416,6,24,0.25,16,20,0.8,N
LAL,2024-03-29,L,241,90,35,86,0.407,5,30,0.167,15,18,0.833,N
POR,2024-03-29,L,240,82,35,87,0.402,5,30,0.167,7,11,0.636,N
WAS,2024-03-29,L,240,87,36,88,0.409,9,33,0.273,6,8,0.75,N
DEN,2024-03-29,L,242,98,35,88,0.398,8,28,0.286,20,27,0.741,N
ORL,2024-03-29,L,241,97,38,86,0.442,10,29,0.345,11,15,0.733,N
IND,2024-03-29,W,239,109,43,89,0.483,10,31,0.323,13,14,0.929,S
MIA,2024-03-29,W,240,142,54,92,0.587,21,39,0.538,13,18,0.722,S
GSW,2024-03-29,W,240,115,48,89,0.539,11,32,0.344,8,9,0.889,S
NYK,2024-03-29,L,265,126,51,110,0.464,14,37,0.378,10,12,0.833,S
CHA,2024-03-29,L,240,97,34,84,0.405,12,46,0.261,17,24,0.708,N
CLE,2024-03-29,W,241,117,45,82,0.549,16,37,0.432,11,13,0.846,S
PHX,2024-03-29,L,242,103,39,87,0.448,13,41,0.317,12,15,0.8,S
CHI,2024-03-29,L,240,108,38,75,0.507,9,30,0.3,23,29,0.793,S
MIN,2024-03-29,W,242,111,38,74,0.514,9,28,0.321,26,37,0.703,S
SAS,2024-03-29,W,265,130,44,82,0.537,16,40,0.4,26,32,0.813,S
OKC,2024-03-29,W,240,128,49,87,0.563,16,30,0.533,14,14,1.0,S
DAL,2024-03-29,W,240,107,35,74,0.473,15,35,0.429,22,33,0.667,S
BKN,2024-03-29,W,240,125,43,91,0.473,25,44,0.568,14,22,0.636,S
NOP,2024-03-28,W,239,107,36,91,0.396,8,32,0.25,27,34,0.794,S
ATL,2024-03-28,W,265,123,51,104,0.49,15,44,0.341,6,10,0.6,S
BOS,2024-03-28,L,267,122,45,94,0.479,14,36,0.389,18,21,0.857,S
MIL,2024-03-28,L,240,100,38,82,0.463,14,39,0.359,10,19,0.526,N
LAC,2024-03-27,W,240,108,40,90,0.444,14,36,0.389,14,20,0.7,S
MEM,2024-03-27,L,242,124,46,97,0.474,17,43,0.395,15,19,0.789,S
MIN,2024-03-27,W,238,106,42,82,0.512,11,36,0.306,11,16,0.688,S
ATL,2024-03-27,W,240,120,44,85,0.518,16,41,0.39,16,20,0.8,S
WAS,2024-03-27,L,266,119,46,91,0.505,14,34,0.412,13,17,0.765,S
CHA,2024-03-27,W,239,118,44,76,0.579,13,33,0.394,17,22,0.773,S
POR,2024-03-27,L,241,106,43,85,0.506,14,31,0.452,6,10,0.6,S
IND,2024-03-27,L,238,99,34,85,0.4,13,42,0.31,18,23,0.783,N
ORL,2024-03-27,L,238,93,36,85,0.424,10,32,0.313,11,21,0.524,N
HOU,2024-03-27,W,265,132,50,104,0.481,15,43,0.349,17,23,0.739,S
LAL,2024-03-27,W,239,136,45,81,0.556,18,33,0.545,28,35,0.8,S
PHX,2024-03-27,W,240,104,39,83,0.47,16,33,0.485,10,11,0.909,S
DET,2024-03-27,L,239,91,31,81,0.383,9,32,0.281,20,25,0.8,N
GSW,2024-03-27,W,241,101,40,90,0.444,10,34,0.294,11,13,0.846,S
BKN,2024-03-27,W,264,122,47,98,0.48,10,33,0.303,18,23,0.783,S
OKC,2024-03-27,L,265,126,47,96,0.49,14,38,0.368,18,24,0.75,S
SAS,2024-03-27,W,239,118,44,86,0.512,16,33,0.485,14,21,0.667,S
TOR,2024-03-27,L,238,101,39,84,0.464,11,31,0.355,12,13,0.923,S
DEN,2024-03-27,L,240,97,38,88,0.432,10,40,0.25,11,12,0.917,N
CLE,2024-03-27,L,239,111,42,85,0.494,19,44,0.432,8,14,0.571,S
CHI,2024-03-27,W,241,125,49,98,0.5,12,27,0.444,15,18,0.833,S
NYK,2024-03-27,W,239,145,55,94,0.585,22,44,0.5,13,16,0.813,S
UTA,2024-03-27,L,240,111,39,83,0.47,13,35,0.371,20,22,0.909,S
PHI,2024-03-27,L,240,107,39,82,0.476,13,33,0.394,16,19,0.842,S
MIA,2024-03-26,L,243,92,37,92,0.402,8,33,0.242,10,13,0.769,N
GSW,2024-03-26,W,243,113,47,85,0.553,13,38,0.342,6,10,0.6,S
OKC,2024-03-26,W,239,119,46,86,0.535,15,34,0.441,12,14,0.857,S
DAL,2024-03-26,W,239,132,51,92,0.554,22,39,0.564,8,13,0.615,S
NOP,2024-03-26,L,241,112,39,86,0.453,14,38,0.368,20,23,0.87,S
SAC,2024-03-26,L,237,96,35,90,0.389,11,30,0.367,15,19,0.789,N
MIL,2024-03-26,L,289,124,49,119,0.412,15,51,0.294,11,17,0.647,S
LAL,2024-03-26,W,290,128,42,108,0.389,14,44,0.318,30,32,0.938,S
IND,2024-03-25,W,240,133,50,86,0.581,17,28,0.607,16,22,0.727,S
CHI,2024-03-25,L,240,105,36,87,0.414,10,35,0.286,23,28,0.821,S
DEN,2024-03-25,W,240,128,48,90,0.533,15,32,0.469,17,18,0.944,S
TOR,2024-03-25,L,240,88,37,85,0.435,5,27,0.185,9,12,0.75,N
